Vorname;Nachname;Strasse;PLZ;Stadt;Land;E-Mail-Adresse
SRH;Medinet GmbH;Berliner Chaussee 66;39114;Magdeburg;Deutschland;alte-oelmuehle@medinet-gmbh.de
Stadt Chemnitz, Amt für;Gesundheit und Prävention;Am Rathaus 8;09111;Chemnitz;Deutschland;suchtberatung@stadt-chemnitz.de
Stadt Gelsenkirchen,;Referat Gesundheit, Sozialpsyc;Kurt-Schumacher-Str. 4;45881;Gelsenkirchen;Deutschland;katrin.johanna.kuegler@gelsenkirchen.de
Stadt Gelsenkirchen,;Referat Gesundheit, Sozialpsyc;Goldbergstr. 12;45894;Gelsenkirchen;Deutschland;katrin.johanna.kuegler@gelsenkirchen.de
Stadt;Mannheim;R1, 12;68161;Mannheim;Deutschland;carolin.kaeser@mannheim.de
stadt.mission.mensch;gGmbH Suchthilfe;Walkerdamm 17;24103;Kiel;Deutschland;suchthilfe@stadtmission-mensch.de
Stadtmission;Chemnitz;Glockenstraße 5;09130;Chemnitz;Deutschland;sucht@stadtmission-chemnitz.de
Stadtmission;Chemnitz e.V.;Glockenstraße 5;09130;Chemnitz;Deutschland;jsdb@stadtmission-chemnitz.de
start\_up -;Wohnbegleitende Hilfen der DRO;Schwanenwall 42;44135;Dortmund;Deutschland;drobs@soziales-zentrum.org
STEPKids;;Schulenburger Landstraße 270;30419;Hannover;Deutschland;stepkids@step-niedersachsen.de
Stiftung SPI Berlin -;Integrierte Suchtberatung Lich;Möllendorffstr. 59;10367;Berlin;Deutschland;suchtbratung-lichtenberg@gwb.stiftung-spi.de
Stiftung;Synanon;Dorfstraße 9;13051;Berlin Malchow;Deutschland;info@synanon.de
Stiftung;Waldmühle;Ludolfusstr. 2-4;60487;Frankfurt;Deutschland;stefan.schuster@stiftung-waldmuehle.de
Streetwork; Neumünster;Christianstraße 33;24534;Neumünster;Deutschland;aussenstelle-streetwork@therapiehilfe.de
Sucht- und Drogenberatung;Diakonie PSB Tübingen;Beim Kupferhammer 5;72070;Tübingen;Deutschland;psb-tue@diakonie-reutlingen.de
Sucht- und Drogenberatung;Burg;Bahnhofstraße 7;39288;Burg;Deutschland;suchtberatung-burg@web.de
Sucht- und Drogenberatung;bwlv - PSB Tübingen;Beim Kupferhammer 5;72070;Tübingen;Deutschland;psb-tuebingen@bw-lv.de
Sucht- und Drogenberatung;des DiakonischenWerk OLS e.V.;Ernst Thälmann Straße 19b;15306;Seelow;Deutschland;suchtberatung@diakonie-ols.de
Sucht- und Drogenberatung;Genthin;Friedenstraße 5a;39307;Genthin;Deutschland;suchtberatung-genthin@web.de
Sucht- und;Drogenberatungsstelle der Diak;Schackenhof 2;99734;Nordhausen;Deutschland;suchtberatung@diakoniewerk.com
Sucht-, Drogenberatung;und Prävention;Rochusstraße 8;55411;Bingen am Rhein;Deutschland;c.junge@caritas-bingen.de
Sucht-, Ehe-, Familien-,;und Lebensberatungsstelle des;Theobaldstraße 10;54292;Trier;Deutschland;self.trier@diakoniehilft.net
Sucht;-Hilfe Elmshorn;Alter Markt 16;25335;Elmshorn;Deutschland;info@die-diakonie.org
Sucht-und;Drogenberatungstelle der Diako;Platz der Freundschaft 14 c;18273;Güstrow;Deutschland;suchtberatung-guestrow@diakonie-guestrow.de
Suchtberatung - Ambulante;Rehabilitation;Mühlenstr. 27;45659;Recklinghausen;Deutschland;i.kuebler@caritas-recklinghausen.de
Suchtberatung - Ambulante;Rehabilitation - Nachsorge;Mühlenstr. 27;45659;Recklinghausen;Deutschland;i.kuebler@caritas-recklinghausen.de
Suchtberatung;Böckmannstrasse;Böckmannstraße 4;20099;Hamburg;Deutschland;suchtberatung-boeckmannstrasse@therapiehilfe.de
Suchtberatung Condrobs e.;V.;Ludwigstr. 82a;82467;Garmisch;Deutschland;daniel.wittmann@condrobs.de
Suchtberatung der;Diakonie Neu-Ulm;Eckstraße 25;89231;Neu-Ulm;Deutschland;suchtberatung@diakonie-neu-ulm.de
Suchtberatung der;Diakonie Ruhr-Hellweg e. V.;Hauptstraße 7;59581;Warstein;Deutschland;suchtberatung-warstein@diakonie-ruhr-hellweg.de
Suchtberatung der;Diakonie Ruhr-Hellweg e.V.;Paul-Gerhardt-Straße 5;59457;Werl;Deutschland;suchtberatung-werl@diakonie-ruhr-hellweg.de
Suchtberatung der;Landeshauptstadt München;Paul-Heyse-Straße 20;80336;München;Deutschland;suchtberatung.gsr@muenchen.de
Suchtberatung des Kreises;Unna;Bahnhofstr. 8;59368;Werne;Deutschland;d.plattfaut@kreis-unna.de
Suchtberatung;Diakonisches Werk Castrop-Raux;Biesenkamp 24;44575;Castrop-Rauxel;Deutschland;Info-castrop@diakonie-herne.de
Suchtberatung;Diakonisches Werk Trier;Theobaldstraße 10;54252;Trier;Deutschland;self.trier@diakoniehilft.de
Suchtberatung;Freiburg;Johanniterstraße 15;79104;Freiburg;Deutschland;suchtberatung-freiburg@agj-freiburg.de
Suchtberatung;Hohenschönhausen;Oberseestr. 98;13053;Berlin;Deutschland;suchtberatung-hsh@stiftung-spi.de
Suchtberatung im;Justizvollzug;Zollstr. 4;42103;Wuppertal;Deutschland;info@drogenberatung-wuppertal.de
Suchtberatung in der;alten Tuchfabrik;Großflecken 68;24534;Neumünster;Deutschland;suchtberatung-neumuenster@therapiehilfe.de
Suchtberatung LDS,;Standort Lübben;Beethovenweg 14;15907;Lübben;Deutschland;suchtberatung-lds@tannenhof.de
Suchtberatung;Pinneberg;Bahnhofstraße 18-22;25421;Pinneberg;Deutschland;suchtberatung.pinneberg@diakonie-hhsh.de
Suchtberatung;Schkeuditz;Rathausplatz 7;04435;Schkeuditz;Deutschland;sucht-schkeuditz@sbz-delitzsch.de
Suchtberatung;SKF Bamberg;Schwarzenbergstraße 8;96050;Bamberg;Deutschland;suchtberatung.ba@skf-bamberg.de
Suchtberatung STAB Pankow,;Stiftung SPI;Arkonastr. 45-49;13189;Berlin;Deutschland;suchthilfe-pankow@stiftung-spi.de
Suchtberatung;Taucha;Schloßstraße 13;04425;Taucha;Deutschland;sucht-taucha@sbz-delitzsch.de
Suchtberatung;Therapiehilfe Stormarn;Mommsenstr. 7;23843;Bad Oldesloe;Deutschland;suchtberatung-oldesloe@therapiehilfe.de
Suchtberatung und;ambulante Suchttherapie;Luitpoldstraße 18;95028;Hof;Deutschland;suchtberatung@diakonie-hochfranken.de
Suchtberatung und;Suchtprävention für Beschäftig;Elsässer Str. 2 m;79110;Freiburg;Deutschland;priska.beringer@uniklinik-freiburg.de
Suchtberatung; Wittstock;Rheinsberger Str. 18;16909;Wittstock;Deutschland;suchtberatung.opr@tannenhof.de
Suchtberatungs- und -;behandlungsstelle;Schmiedestraße 2;01796;Pirna;Deutschland;suchtberatung@diakonie-pirna.de
Suchtberatungs- und -;behandlungsstelle;Otto-Johnsen- Str. 4;04720;Döbeln;Deutschland;sucht@diakonie-doebeln.de
Suchtberatungs- und -;behandlungsstelle Löwenzahn;Dresdner Straße 162;01705;Freital;Deutschland;suchtberatung@awo-weisseritzkreis.de
Suchtberatungs- und -;behandlungsstelle Delitzsch;Schäfergraben 5 c;04509;Delitzsch;Deutschland;sucht-delitzsch@sbz-delitzsch.de
Suchtberatungs- und -;behandlungsstelle des Diakonis;Petersstr.44;09599;Freiberg;Deutschland;sucht@diakonie-freiberg.de
Suchtberatungs- und;Behandlungsstelle Caritas Land;Brudergasse 215;86899;Landsberg;Deutschland;suchtberatung@caritas-landsberg.de
Suchtberatungs- und;Behandlungsstelle der Gesop gG;Gasanstaltstraße 10 E;01237;Dresden;Deutschland;sbb@gesop-dresden.de
Suchtberatungs- und;Behandlungsstelle der Volkssol;Goethestraße 16;18055;Rostock;Deutschland;suchtberatung@vs-hro.de
Suchtberatungs- und;Behandlungsstelle Dresden-Nord;Leipziger Straße 118;01127;Dresden;Deutschland;suchtberatung.nord@diakonie-dresden.de
Suchtberatungs- und;Behandlungsstelle Marzahn-Hell;Alt-Marzahn 59;12685;Berlin;Deutschland;suchtberatung@wuhletal.de
Suchtberatungs- und;Behandlungsstelle Meißen der R;Martinstr. 5;01662;Meißen;Deutschland;meissen-suchtberatung@rasop.de
Suchtberatungs- und;Behandlungsstelle Meißen der R;Dr.-Külz-Str. 4;01445;Radebeul;Deutschland;radebeul-suchtberatung@rasop.de
Suchtberatungs- und;Behandlungsstelle Riesa der Ra;Hauptstr. 84;01587;Riesa;Deutschland;riesa-suchtberatung@rasop.de
Suchtberatungs-und;Behandlungsstelle;Auenstr. 3;98529;Suhl;Deutschland;suchtberatung@diakonie-henneberg.de
Suchtberatungsstelle;Blaues Kreuz;Georg-Schumann-Str. 172;04159;Leipzig;Deutschland;suchtberatung@diakonie-leipzig.de
Suchtberatungsstelle;Altenburger Land;Zeitzer Straße 14;04600;Altenburg;Deutschland;suchtberatung@horizonte-altenburg.de
Suchtberatungsstelle der;AWO Kreisverband Bautzen e. V.;Löbauer Str. 48;02625;Bautzen;Deutschland;suchtberatung@awo-bautzen.de
Suchtberatungsstelle der;StädteRegion Aachen;Bergrather Straße 51-53;52249;Eschweiler;Deutschland;suchtberatung@staedteregion-aachen.de
Suchtberatungsstelle des;Diakonischen Werkes Rheinhesse;Kaiserstraße 29;55116;Mainz;Deutschland;suchtberatung-mainz@diakonie-rheinhessen.de
Suchtberatungsstelle des;Diakonischen Werks Coburg;Ernst-Faber-Straße 17;96450;Coburg;Deutschland;suchtberatung\_coburg@diakonie-coburg.org
Suchtberatungsstelle Ev.;Stadtmission Halle e.V.;Weidenplan 4;06108;Halle;Deutschland;suchtberatung@stadtmission-halle.de
Suchtberatungsstelle im;Blaukreuz-Zentrum Wuppertal;Kleiner Werth 34;42275;Wuppertal;Deutschland;suchtberatung.wuppertal@blaues-kreuz.de
Suchtberatungsstelle;Impuls Leipzig;Möckernsche Str. 3;04159;Leipzig;Deutschland;impuls@suchtzentrum.de
Suchtberatungsstelle;Landkreis Altenburger Land;Zeitzer Straße 14;04600;Altenburg;Deutschland;suchtberatung@horizonte-altenburg.de
Suchtberatungsstelle;Schwedt;Berliner Straße 123;16303;Schwedt/Oder;Deutschland;gesundheitsamt@uckermark.de
Suchtberatungsstellen;Eberswalde/;Schönholzerstr. 12;16227;Eberswalde;Deutschland;Suchtberatung@lis-prowo.de
Suchtberatungsstellen;Eberswalde/ Bernau;Bürgermeisterstr. 2;16321;Bernau;Deutschland;suchtberatung@lis-prowo.de
Suchtberatungszentrum I -;DROBS Magdeburg;Weidenstraße 6;39114;Magdeburg;Deutschland;fachstelle-drobs-magdeburg@paritaet-lsa.de
Suchtberatungszentrum II;Magdeburg;Thiemstraße 12;39104;Magdeburg;Deutschland;beratung@suchtberatungszentrum2-md.de
Suchtberatungszentrum;Kiel;Sachaustraße 4;24114;Kiel;Deutschland;sbz@horizon-kiel.de
Suchtfachambulanz;Augsburg-Stadt;Auf dem Kreuz 47;86152;Augsburg;Deutschland;suchtfachambulanz.augsburg@caritas-augsburg.de
Suchthilfe Blaues Kreuz;Ansbach UG;Triesdorferstr. 1;91522;Ansbach;Deutschland;suchthilfe@blaues-kreuz-ansbach.de
Suchthilfe Finsterwalde e.;V.;Schloßstraße 6b;03238;Finsterwalde;Deutschland;suchthilfe.fiwa@nexgo.de
Suchthilfe; Hildesheim;Pfaffenstieg 12;31134;Hildesheim;Deutschland;suchthilfe@caritas-hildesheim.de
Suchthilfe im Kreis Unna;gGmbH;Kötterbachstr. 16;58239;Schwerte;Deutschland;brss@suchthilfe-unna.de
Suchthilfe;Prignitz e.V.;Wahrenberger Str. 2;19322;Wittenberge;Deutschland;shp@suchthilfe-prignitz.de
Suchthilfe;Wetzlar e. V.;Sophienstraße 7;35576;Wetzlar;Deutschland;mail@suchthilfe-wetzlar.de
Suchthilfezentrum;;Wilhelm-Glässing-Str. 15-17;64283;Darmstadt;Deutschland;sucht@caritas-darmstadt.de
Suchthilfezentrum ATS;Norderstedt;Kohfurth 1;22850;Norderstedt;Deutschland;sucht.nor@ats-sh.de
Suchthilfezentrum;Böblingen;Landhausstr. 58;71034;Böblingen;Deutschland;suchthilfezentrum@diakonie-boeblingen.de
Suchthilfezentrum des DRK;KV Odenwaldkreis e.V.;Bahnstr. 43;64711;Erbach;Deutschland;suchtberatung@drk-odenwaldkreis.de
SuchtHilfeZentrum Gießen;e.V.;Schanzenstr. 16;35390;Gießen;Deutschland;info@shz-giessen.de
Suchthilfezentrum;Maintal;Musikantenweg 39;60316;Frankfurt am Main;Deutschland;jbsmerian@jj-ev.de
Suchthilfezentrum;Nikolausburg;Fürst-Bismarck-Straße 34;47119;Duisburg;Deutschland;suchthilfezentrum@caritas-duisburg.de
Suchthilfezentrum;Stadtmission Nürnberg e. V.;Krellerstraße 3;90489;Nürnberg;Deutschland;shz@stadtmission-nuernberg.de
Suchthilfezentrum;Wiesbaden;Schiersteiner Straße 4;65187;Wiesbaden;Deutschland;shz@jj-ev.de
Suchthilfezentrum;Wiesbaden;Schiersteiner Str. 4;65187;Wiesbaden;Deutschland;shz@jj-ev.de
Suchtkrankenhilfe für;Betroffene und Angehörige e.V.;Goethestraße 33;38440;Wolfsburg;Deutschland;skh.goethe33@gmx.de
Suchtkrankenhilfe im;Caritasverband Paderborn e.V.;Giermauer 19;33098;Paderborn;Deutschland;skh-verwaltung@caritas-pb.de
Suchtmedizinisches;Behandlungszentrum Mitte;Türlenstrasse 22;70191;Stuttgart;Deutschland;sucht@klinikum-stuttgart.de
TagesReha;Frankfurt;Borsigallee 19;60388;Frankfurt am Main;Deutschland;sucht@tagesreha-ffm.de
Tagesstätte;Bahnweg;Rödelheimer Bahnweg 27;60489;Frankfurt;Deutschland;tagesstaette-bahnweg@jj-ev.de
Tagesstätte Hilfe zur;Selbsthilfe Begegnung Jena e.V;Friedrich-Zucker-Str. 1-3;07745;Jena;Deutschland;info@selbsthilfe-jena.de
Tagesstätte Wernigerode;im Suchtmedizinischen Zentrum;Degenerstraße 8;38855;Wernigerode;Deutschland;tagesstaette-wernigerode@diako-harz.de
Tagesstruktur für;Abhängigkeitskranke - bwlv;Beim Kupferhammer 5/1;72070;Tübingen;Deutschland;tagesstruktur-tuebingen@bw-lv.de
TGJ;Suchtberatung;Jenfelder Str. 100;22045;Hamburg;Deutschland;suchtberatung.tgj@alida.de
Therapeutische;Gemeinschaft Jenfeld;Jenfelder Straße 100;22045;Hamburg;Deutschland;info.tgj@alida.de
Therapieladen;e.V.;Potsdamerstr. 131;10783;Berlin;Deutschland;info@therapieladen.de
Therapiezentrum;OPEN;Robert-Bosch-Breite 1c;37079;Göttingen;Deutschland;therapiezentrum-open@deutscher-orden.de
TOPOi;gGmbH;Am Laitrand 1;99094;Erfurt;Deutschland;kontakt@topoi-ef.de
Verbundwohnen;;Bornhagenweg 24;12309;Berlin;Deutschland;verbundwohnen@frausuchtzukunft.de
VILLA Störtebeker KARUNA;INT. e.V.;Pfarrstraße 119;10317;Berlin;Deutschland;villastoertebeker@karuna-ev.de
Violetta;Clean;Bettinastr. 12;14193;Berlin;Deutschland;violettaclean@frausuchtzukunft.de
vista PSB-/ BEW-;Friedrichshain-Kreuzberg;Muskauer Straße 24;10997;Berlin;Deutschland;bew-kreuzberg@vistaberlin.de
vista;PSB/ BEW Mitte;Stromstraße 47;10551;Berlin;Deutschland;bew-mitte@vistaberlin.de
vista;PSB/ BEW Neukölln;Lahnstraße 84;12055;Berlin;Deutschland;bew-neukoelln@vistaberlin.de
vista;WIGWAM Connect;Stromstraße 47;10551;Berlin;Deutschland;wigwam-connect@vistaberlin.de
vista;WIGWAM Support;Stromstraße 47;10551;Berlin;Deutschland;wigwam@vistaberlin.de
Vivantes Auguste-Viktoria-;Klinik;Rubensstr. 125;12157;Berlin;Deutschland;psychiatrie.avk@vivantes.de
Vivantes Wenckebach-;Klinikum;Wenckebachstr. 23;12099;Berlin;Deutschland;psychiatrie.wbk@vivantes.de
Wohnprojekte;Havemannstraße;Havemannstraße 24;12689;Berlin;Deutschland;psb-marzahn@vistaberlin.de
Wohnprojekte;Wedding;Badstr. 33 a;13357;Berlin;Deutschland;wohnen-wedding@vistaberlin.de
Zentrum für ambulante;Suchtkrankenhilfe des Caritasv;Rizzastraße 14;56068;Koblenz;Deutschland;zas\_koblenz@caritas-koblenz.de
Zentrum für Sucht- und;Sozialtherapie des Diakonische;Frankfurter Str. 78 A;34121;Kassel;Deutschland;suchtberatung@dw-region-kassel.de
