Name der Einrichtung;Strasse mit Hausnummer;Postleitzahl;Stadt;E-Mail-Adresse;Detail-Link
fs-sbk(at)bw-lv.de;Großherzog-Karl-Straße 6;78050;Villingen-Schwenningen;fs-sbk@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Bruchsal;Hildastr. 1;76646;Bruchsal;fs-bruchsal@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5139&cHash=f70ec0555f32b91329b293024a34dd98
fs-bruchsal(at)bw-lv.de;Hildastr. 1;76646;Bruchsal;fs-bruchsal@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Heidelberg;Unterer Fauler Pelz 1;69117;Heidelberg;fs-heidelberg@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4702&cHash=2ed067341512b17346ae640f81920ce9
fs-heidelberg(at)bw-lv.de;Unterer Fauler Pelz 1;69117;Heidelberg;fs-heidelberg@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Karlsruhe;Karlstr. 61;76133;Karlsruhe;fs-karlsruhe@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5136&cHash=2bb34372233459c087ec67620a1009df
fs-karlsruhe(at)bw-lv.de;Karlstr. 61;76133;Karlsruhe;fs-karlsruhe@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Lörrach;Tumringer Str. 229;79539;Lörrach;fs-loerrach@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6174&cHash=2edc25b5d9f0909042bddb11fc4503d8
fs-loerrach(at)bw-lv.de;Tumringer Str. 229;79539;Lörrach;fs-loerrach@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Rottweil;Hochmaurenstraße 9;78628;Rottweil;fs-rottweil@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4788&cHash=b733fd54fd96a541abdbf2e137e3e5d3
fs-rottweil(at)bw-lv.de;Hochmaurenstraße 9;78628;Rottweil;fs-rottweil@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Waldshut;Kaiserstr. 17;79761;Waldshut-Tiengen;fs-waldshut@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5897&cHash=5097e7c665896add9eb718a98a8e51dd
fs-waldshut(at)bw-lv.de;Kaiserstr. 17;79761;Waldshut-Tiengen;fs-waldshut@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Wiesloch;Westliche Zufahrt 14;69168;Wiesloch;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4297&cHash=e17ee0a55795cd8e2306957465177db3
fs-wiesloch(at)bw-lv.de;Westliche Zufahrt 14;69168;Wiesloch;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Wiesloch;Friedensstraße 9;69190;Walldorf;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4303&cHash=2149c4508b2ebf49e367f8eebd39ac53
fs-wiesloch(at)bw-lv.de;Friedensstraße 9;69190;Walldorf;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Wiesloch;Friedrich-Ebert-Str. 6;69412;Eberbach;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4304&cHash=9213030c6a2d1941d317c10c91a25648
fs-wiesloch(at)bw-lv.de;Friedrich-Ebert-Str. 6;69412;Eberbach;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Fachstelle Sucht Wiesloch;Mörikeweg 1;69181;Leimen;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6202&cHash=2cb0cb6af19b0bc738f7d817a828e40b
fs-wiesloch(at)bw-lv.de;Mörikeweg 1;69181;Leimen;fs-wiesloch@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Jugend- und Drogenberatung Reutlingen;Albstr. 70/1;72764;Reutlingen;psb-reutlingen@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4312&cHash=2c8ff719ca4304d3bd765d2ea3d74996
psb-reutlingen(at)bw-lv.de;Albstr. 70/1;72764;Reutlingen;psb-reutlingen@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv Zentrum Pforzheim;Luisenstr. 54-56;75172;Pforzheim;fs-pforzheim@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4590&cHash=cf8b812c646b3a65f5a3f5d9ffa53482
fs-pforzheim(at)bw-lv.de;Luisenstr. 54-56;75172;Pforzheim;fs-pforzheim@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
bwlv-Fachstelle Sucht;Am Bachgarten 9;76593;Gernsbach;fs-rastatt@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5722&cHash=e37ac9f0c034334c0f1bdb24f6dbec01
fs-rastatt(at)bw-lv.de;Am Bachgarten 9;76593;Gernsbach;fs-rastatt@bw-lv.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Cafe Connection;Zehenthof 3;86609;Donauwörth;cafeconnection@caritas-augsburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5188&cHash=3451f7895a66f91957c6fabdd36d451e
cafeconnection(at)caritas-augsburg.de;Zehenthof 3;86609;Donauwörth;cafeconnection@caritas-augsburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Cafe Flash - Kontakteinrichtung für Drogenabhängige und Substituierte;Schwanenwall 42;44135;Dortmund;cafe.flash@soziales-zentrum.org;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4375&cHash=13760dc3a081399f383b5740d756ce0d
cafe.flash(at)soziales-zentrum.org;Schwanenwall 42;44135;Dortmund;cafe.flash@soziales-zentrum.org;https://www.dhs.de/service/suchthilfeverzeichnis/
Café Inkognito - Paritätische Suchthilfe Niedersachsen gGmbH;Thiewall 4;31785;Hameln;cafe.inkognito@ps-nds.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4715&cHash=4d0328a060e2b74ce2c64a43cfef5741
cafe.inkognito(at)ps-nds.de;Thiewall 4;31785;Hameln;cafe.inkognito@ps-nds.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Café Schließfach;Niederstr. 12-16;45141;Essen;cafe-schliessfach@cse.ruhr;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4397&cHash=ee6f7dc3cf3a7557c11626c44340751a
cafe-schliessfach(at)cse.ruhr;Niederstr. 12-16;45141;Essen;cafe-schliessfach@cse.ruhr;https://www.dhs.de/service/suchthilfeverzeichnis/
Café Steinrausch - Kontakt- und Beratungsstelle;Richrather Str. 51;40764;Langenfeld;suchthilfe@vpd-mettmann.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4127&cHash=f37d7a1c2c3876435e312a350fc1ec6f
suchthilfe(at)vpd-mettmann.de;Richrather Str. 51;40764;Langenfeld;suchthilfe@vpd-mettmann.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas - Fachambulanz für Suchtprobleme;Klosterstraße 13;93413;Cham;info@suchtambulanz-cham.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=3946&cHash=0e441b65510c56e5a9aa144b46e55b96
info(at)suchtambulanz-cham.de;Klosterstraße 13;93413;Cham;info@suchtambulanz-cham.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas - Fachambulanz für Suchtprobleme;Gartenweg 7 1/2;84130;Dingolfing;beratung@suchtambulanz-dingolfing.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4049&cHash=87a8b1b157b0d070fc347ffdab02a770
beratung(at)suchtambulanz-dingolfing.de;Gartenweg 7 1/2;84130;Dingolfing;beratung@suchtambulanz-dingolfing.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas - Suchthilfezentrum;Heggerstr. 11;45525;Hattingen;shz-hattingen@caritas-en.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5982&cHash=c1bab941143abd06c9146daf457e6433
shz-hattingen(at)caritas-en.de;Heggerstr. 11;45525;Hattingen;shz-hattingen@caritas-en.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachambulanz für Suchterkrankungen;Hauptstr. 5;82256;Fürstenfeldbruck;suchtambulanzffb@caritasmuenchen.org;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5942&cHash=cd436a671b24ce1d9ad38965397b8f47
sucht;Hauptstr. 5;82256;Fürstenfeldbruck;suchtambulanzffb@caritasmuenchen.org;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachambulanz für Suchtprobleme;Hemauerstr. 10c;93047;Regensburg;suchtambulanz@caritas-regensburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=3957&cHash=95be513b0862a8b9648a014edc343256
suchtambulanz(at)caritas-regensburg.de;Hemauerstr. 10c;93047;Regensburg;suchtambulanz@caritas-regensburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachambulanz für Suchtprobleme;Obere Bachstraße 12;94315;Straubing;beratung@suchtambulanz-straubing.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4176&cHash=837bea8c4786e03a7ae1cdae5e69c9db
beratung(at)suchtambulanz-straubing.de;Obere Bachstraße 12;94315;Straubing;beratung@suchtambulanz-straubing.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachambulanz für Suchtprobleme;Bismarckstraße 21;92637;Weiden;beratung@caritas-suchtambulanz-weiden.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6293&cHash=a0fab526481ca637ec4f610901deee7a
beratung(at)caritas-suchtambulanz-weiden.de;Bismarckstraße 21;92637;Weiden;beratung@caritas-suchtambulanz-weiden.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachambulanz für Suchtprobleme Kelheim;Pfarrhofgasse 1;93309;Kelheim;beratung@suchtambulanz-kelheim.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5416&cHash=187285675f0f7fee0bf7564d08138f39
beratung(at)suchtambulanz-kelheim.de;Pfarrhofgasse 1;93309;Kelheim;beratung@suchtambulanz-kelheim.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Fachstelle Sucht;Hubertusstraße 3;40219;Düsseldorf;Fachstelle.Sucht@caritas-duesseldorf.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5404&cHash=bbc120e70ae2dc41d1dcf1e978641591
Fachstelle.Sucht(at)caritas-duesseldorf.de;Hubertusstraße 3;40219;Düsseldorf;Fachstelle.Sucht@caritas-duesseldorf.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas im Norden, Fachdienst Suchthilfe;August-Bebel-Straße 2;18055;Rostock;suchtberatung@caritas-im-norden.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5732&cHash=4614e3051eac36345df831a838c408ce
suchtberatung(at)caritas-im-norden.de;August-Bebel-Straße 2;18055;Rostock;suchtberatung@caritas-im-norden.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Kreisstelle Ingolstadt, Suchtambulanz;Jesuitenstr. 1;85049;Ingolstadt;suchtambulanz@caritas-ingolstadt.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5652&cHash=d1af6fe10685503e96e2e622de317b88
suchtambulanz(at)caritas-ingolstadt.de;Jesuitenstr. 1;85049;Ingolstadt;suchtambulanz@caritas-ingolstadt.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas München-Freising e. V.;Klosterweg 2;83646;Bad Tölz;fas-toel-wor@caritasmuenchen.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4470&cHash=45ef20d189704885f61b479a46f2b12a
fas-toel-wor(at)caritasmuenchen.de;Klosterweg 2;83646;Bad Tölz;fas-toel-wor@caritasmuenchen.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas München-Freising e.V.;Graslitzer Str. 13;82538;Geretsried;fas-toel-wor@caritasmuenchen.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4469&cHash=486cdd26b5443e5bbac16ec1e8827bef
fas-toel-wor(at)caritasmuenchen.de;Graslitzer Str. 13;82538;Geretsried;fas-toel-wor@caritasmuenchen.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Münster Suchtberatung;Josefstr. 2;48151;Münster;suchtberatung@caritas-ms.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4006&cHash=d88a3ec196d05d95649a111c6a7d77ae
suchtberatung(at)caritas-ms.de;Josefstr. 2;48151;Münster;suchtberatung@caritas-ms.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Oldenburg-Ammerland e.V.;Peterstr. 39;26121;Oldenburg;abw@caritas-ol.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6137&cHash=ab7c0ee3c986fd2e1a8a16cd071a42e7
abw(at)caritas-ol.de;Peterstr. 39;26121;Oldenburg;abw@caritas-ol.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Sucht- und Drogenhilfe;Roonstr. 22;33330;Gütersloh;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5612&cHash=31bb55be8bc9c827309b4fedb7e8e44b
suchtberatung(at)caritas-guetersloh.de;Roonstr. 22;33330;Gütersloh;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Sucht- und Drogenhilfe;Bielefelder Str. 47;33378;Rheda-Wiedenbrück;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5613&cHash=669a591aa4705f14e538708f02685768
suchtberatung(at)caritas-guetersloh.de;Bielefelder Str. 47;33378;Rheda-Wiedenbrück;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Sucht- und Drogenhilfe;Holter Straße 266;33758;Schloß Holte-Stukenbrock;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5616&cHash=1ed867f09fe51e5338a3aee75f37c444
suchtberatung(at)caritas-guetersloh.de;Holter Straße 266;33758;Schloß Holte-Stukenbrock;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Sucht- und Drogenhilfe Gütersloh;Unter den Ulmen 14b;33330;Gütersloh;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5611&cHash=cd8d6a959f4709880923ce101b34d85e
suchtberatung(at)caritas-guetersloh.de;Unter den Ulmen 14b;33330;Gütersloh;suchtberatung@caritas-guetersloh.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchtberatung / Nachsorge;Straße der Jugend 23;03046;Cottbus;suchtberatung.cottbus@caritas-goerlitz.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=3977&cHash=ec188c9e751e6812d0d7580d5ae0ee01
suchtberatung.cottbus(at)caritas-goerlitz.de;Straße der Jugend 23;03046;Cottbus;suchtberatung.cottbus@caritas-goerlitz.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchtberatung Nauen;Gartenstr.29/30;14641;Nauen;suchtberatung-nauen@caritas-brandenburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4895&cHash=3bfffb413f15785ceb72f98c5084df4b
suchtberatung-nauen(at)caritas-brandenburg.de;Gartenstr.29/30;14641;Nauen;suchtberatung-nauen@caritas-brandenburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchtfachambulanz;Fischergasse 14;88131;Lindau;suchtfachambulanz.lindau@caritas-augsburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=6017&cHash=df1900dd948695e73e6d969ec5fcda30
suchtfachambulanz.lindau(at)caritas-augsburg.de;Fischergasse 14;88131;Lindau;suchtfachambulanz.lindau@caritas-augsburg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfe;Lutterbeckerstr 30;40822;Mettmann;Suchthilfe@caritas-mettmann.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5764&cHash=a1d253b56aa61896210f23bc40ac741c
Suchthilfe(at)caritas-mettmann.de;Lutterbeckerstr 30;40822;Mettmann;Suchthilfe@caritas-mettmann.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfe für den Oberbergischen Kreis;Talstraße 1;51643;Gummersbach;suchthilfe@caritas-oberberg.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4345&cHash=3f944df36008548dc67f417f80fbdd32
suchthilfe(at)caritas-oberberg.de;Talstraße 1;51643;Gummersbach;suchthilfe@caritas-oberberg.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfen;Wilhelmstraße 2;88212;Ravensburg;suchthilfen.bos@caritas-dicvrs.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4113&cHash=0d3726be20e10cd8f40c6896e337e2ed
suchthilfen.bos(at)caritas-dicvrs.de;Wilhelmstraße 2;88212;Ravensburg;suchthilfen.bos@caritas-dicvrs.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfen;Buchweg 8;88239;Wangen;suchthilfen.bos@caritas-dicvrs.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4116&cHash=b2786d905346822c61c1bdc547db2ced
suchthilfen.bos(at)caritas-dicvrs.de;Buchweg 8;88239;Wangen;suchthilfen.bos@caritas-dicvrs.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfen Biberach;Waldseerstraße 24;88400;Biberach;suchtberatung@caritas-biberach-saulgau.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5117&cHash=74bbd10af34817e273d1d1f9767cb331
suchtberatung(at)caritas-biberach-saulgau.de;Waldseerstraße 24;88400;Biberach;suchtberatung@caritas-biberach-saulgau.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Suchthilfezentrum;August-Bendler-Str. 14;58332;Schwelm;shz-schwelm@caritas-en.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=5923&cHash=108208b95754a2b01de6126ac63d42fe
shz-schwelm(at)caritas-en.de;August-Bendler-Str. 14;58332;Schwelm;shz-schwelm@caritas-en.de;https://www.dhs.de/service/suchthilfeverzeichnis/
Caritas Zentrum Ludwigshafen;Ludwigstraße 67-69;67059;Ludwigshafen;caritas-zentrum.ludwigshafen@caritas-speyer.de;https://www.dhs.de/service/suchthilfeverzeichnis/?tx_wwdhseinrichtung2_fe1%5Baction%5D=show&tx_wwdhseinrichtung2_fe1%5Bcontroller%5D=Entry&tx_wwdhseinrichtung2_fe1%5Bentry%5D=4348&cHash=fe65a84235ee44c12f99e55fa51d03ad
caritas-zentrum.ludwigshafen(at)caritas-speyer.de;Ludwigstraße 67-69;67059;Ludwigshafen;caritas-zentrum.ludwigshafen@caritas-speyer.de;https://www.dhs.de/service/suchthilfeverzeichnis/
